year,num_week,true_death,fit_death,lower,upper,excess_death
2020,1,1161,1334.034458114876,1076.9959999999999,1611.0010000000002,-173.0344581148761
2020,2,1567,1412.1495421738693,1154.982,1696,154.85045782613065
2020,3,1322,1405.2179373518345,1166.998,1678.0060000000012,-83.21793735183451
2020,4,1226,1398.3192401053861,1143.999,1662.005000000001,-172.31924010538614
2020,5,1188,1391.4534105862454,1130.998,1669,-203.45341058624535
2020,6,1216,1276.0612519984998,1027.999,1521.0010000000002,-60.061251998499756
2020,7,1162,1269.7941937155,1023.999,1523.0060000000012,-107.79419371549989
2020,8,1162,1263.5573077534848,1019.996,1540.0030000000006,-101.55730775348479
2020,9,1171,1257.3505519361,1020.994,1537.015000000003,-86.35055193609992
2020,10,1208,1173.8375362726679,943.999,1439,34.162463727332124
2020,11,1198,1168.0708383637054,927.992,1438.0020000000004,29.929161636294566
2020,12,1196,1162.3322822263644,935.994,1426.005000000001,33.66771777363556
2020,13,1079,1156.6218234970208,939.9970000000001,1396.0030000000006,-77.62182349702084
2020,14,1744,1134.0356357626235,901.996,1391.0070000000014,609.9643642373765
2020,15,1978,1060.8098685564848,837,1299.0030000000006,917.1901314435152
2020,16,1916,1055.5984256938063,845.999,1295.0130000000026,860.4015743061937
2020,17,1836,1117.4041611348423,885.999,1363.0080000000016,718.5958388651577
2020,18,1678,1091.5851455629402,867.997,1337.0210000000043,586.4148544370598
2020,19,1435,1021.1015734802966,791,1274,413.89842651970343
2020,20,1421,1080.88878489417,878.999,1328.010000000002,340.11121510583007
2020,21,1226,1075.5808253103326,847.9979999999999,1318.0040000000008,150.41917468966744
2020,22,1128,1006.1323241377277,802.993,1246.0130000000026,121.86767586227234
2020,23,1093,1044.340682477625,823.999,1310.0060000000012,48.65931752237498
2020,24,1034,1039.2144253858914,827.997,1301.0010000000002,-5.214425385891445
2020,25,1065,1034.1142335068992,831.9979999999999,1276.0070000000014,30.885766493100846
2020,26,1008,1029.0400519360744,811.993,1258.0090000000018,-21.040051936074406
2020,27,983,1017.9604901865405,799.999,1284.0020000000004,-34.96049018654048
2020,28,977,1012.9676995613472,796.992,1234.0040000000008,-35.96769956134722
2020,29,1033,1008.0005240329913,793.998,1250.0060000000012,24.99947596700872
2020,30,962,1003.0588701317893,785.994,1262.010000000002,-41.05887013178926
2020,31,1043,998.1426442915366,786.989,1266.0030000000006,44.85735570846339
2020,32,1011,1009.062205461929,806.998,1239.005000000001,1.937794538070989
2020,33,928,1004.119103891696,792,1218.0140000000029,-76.119103891696
2020,34,1046,999.2015494503888,785.999,1243.0010000000002,46.798450549611175
2020,35,1030,994.3094467522701,781.999,1256.0020000000004,35.690553247729895
2020,36,1050,971.0634555704536,768,1212.0010000000002,78.93654442954642
2020,37,1069,1027.9395934870076,833.998,1260,41.06040651299236
2020,38,952,1022.9112770594114,814.9979999999999,1271,-70.91127705941142
2020,39,933,1017.9091336836912,808.995,1270.0040000000008,-84.90913368369115
2020,40,1196,1075.4374854928558,849.999,1352,120.56251450714421
2020,41,1072,1070.181936042989,848,1313.0020000000004,1.8180639570109633
2020,42,1134,1064.9538564514362,842.999,1307.0010000000002,69.0461435485638
2020,43,1187,1059.753140569486,832.999,1284.0170000000035,127.24685943051395
2020,44,1262,1054.5796822236691,834.9970000000001,1295.0040000000008,207.42031777633088
2020,45,1250,1123.9586268364146,893.9989999999999,1376.005000000001,126.04137316358538
2020,46,1338,1118.4758218575723,872.99,1364.010000000002,219.52417814242767
2020,47,1360,1113.021868865568,892.989,1363,246.97813113443203
2020,48,1329,1107.5966541032167,890.994,1343.0030000000006,221.40334589678332
2020,49,1296,1206.0362942353966,967.996,1464,89.96370576460345
2020,50,1284,1200.1624978325842,971,1482.0020000000004,83.83750216741578
2020,51,1297,1194.3197736659752,959.9960000000001,1466.0010000000002,102.68022633402484
2020,52,1205,1117.2538065272197,894.9979999999999,1393.0130000000026,87.7461934727803
2020,53,1178,1033.4006020569377,832.996,1282.0010000000002,144.59939794306229
2021,1,1720,1419.0271175821329,1166.999,1704.0020000000004,300.97288241786714
2021,2,1550,1412.1311619742737,1150.999,1681.0010000000002,137.8688380257263
2021,3,1559,1405.2719191527826,1165.997,1691.010000000002,153.72808084721737
2021,4,1604,1398.4492393659727,1158.98,1699.005000000001,205.55076063402726
2021,5,1506,1282.551655364147,1047.9959999999999,1549.0030000000006,223.4483446358529
2021,6,1412,1276.3308768587892,1024.997,1547.0060000000012,135.66912314121078
2021,7,1422,1270.1433811069971,1038.9979999999998,1525.0140000000029,151.85661889300286
2021,8,1325,1263.9890304006067,1026.997,1528.0070000000014,61.01096959939332
2021,9,1204,1180.1175896754685,949.999,1445.0080000000016,23.88241032453152
2021,10,1145,1174.4054511160075,950.997,1437.0070000000014,-29.405451116007498
2021,11,1114,1168.7240218183636,932.999,1433,-54.72402181836355
2021,12,1097,1163.0731729611557,930.9970000000001,1413.015000000003,-66.0731729611557
2021,13,972,1072.0801467103745,843.996,1324,-100.08014671037449
2021,14,1058,1066.902391310469,848.999,1323.0040000000008,-8.902391310469056
2021,15,1131,1129.467138952925,882.998,1372.0060000000012,1.5328610470749027
2021,16,1112,1124.0185419161319,906.999,1380.0060000000012,-12.01854191613188
2021,17,1040,1118.5994432298382,896.991,1382.0020000000004,-78.59944322983824
2021,18,954,1027.3362998258187,817.992,1246.0030000000006,-73.33629982581874
2021,19,1076,1087.5934246653803,860.996,1332.0010000000002,-11.593424665380326
2021,20,1042,1082.3595423659806,863.998,1320.0080000000016,-40.35954236598059
2021,21,1098,1077.1541242517487,860.9939999999999,1320.0030000000006,20.845875748251274
2021,22,1055,988.1193962061791,776.9929999999999,1229.0160000000033,66.88060379382091
2021,23,1150,1046.0891201820089,824.998,1298.0030000000006,103.91087981799114
2021,24,1054,1041.0679024699484,831,1291.0010000000002,12.932097530051578
2021,25,1055,1036.0741127115762,815.997,1287.0090000000018,18.925887288423837
2021,26,1095,1025.0343898457832,820,1266.0010000000002,69.96561015421685
